report_date,report_begin_date,report_end_date,year,month,commodity,group,region,price_min,price_max,price_Unit,report_narrative,commodity_narrative
12/01/1997,12/01/1997,12/05/1997,1997,12,Cream,Class II,Midwest,2.0631,2.1678,Dollars per Pound,,
12/08/1997,12/08/1997,12/12/1997,1997,12,Cream,Class II,Midwest,1.725,1.8125,Dollars per Pound,,
12/15/1997,12/15/1997,12/19/1997,1997,12,Cream,Class II,Midwest,1.4807,1.5581,Dollars per Pound,,
12/22/1997,12/22/1997,12/26/1997,1997,12,Cream,Class II,Midwest,1.3992,1.484,Dollars per Pound,,
12/29/1997,12/29/1997,01/02/1998,1997,12,Cream,Class II,Midwest,1.4171,1.491,Dollars per Pound,,
01/05/1998,01/05/1998,01/09/1998,1998,1,Cream,Class II,Midwest,1.404,1.456,Dollars per Pound,,
01/12/1998,01/12/1998,01/16/1998,1998,1,Cream,Class II,Midwest,1.404,1.4872,Dollars per Pound,,
01/19/1998,01/19/1998,01/23/1998,1998,1,Cream,Class II,Midwest,1.4338,1.5301,Dollars per Pound,,
01/26/1998,01/26/1998,01/30/1998,1998,1,Cream,Class II,Midwest,1.6492,1.7112,Dollars per Pound,,
02/02/1998,02/02/1998,02/06/1998,1998,2,Cream,Class II,Midwest,1.6632,1.764,Dollars per Pound,,
02/09/1998,02/09/1998,02/13/1998,1998,2,Cream,Class II,Midwest,1.749,1.855,Dollars per Pound,,
02/16/1998,02/16/1998,02/20/1998,1998,2,Cream,Class II,Midwest,1.729,1.82,Dollars per Pound,,
02/23/1998,02/23/1998,02/27/1998,1998,2,Cream,Class II,Midwest,1.729,1.82,Dollars per Pound,,
03/02/1998,03/02/1998,03/06/1998,1998,3,Cream,Class II,Midwest,1.6632,1.764,Dollars per Pound,,
03/09/1998,03/09/1998,03/13/1998,1998,3,Cream,Class II,Midwest,1.6625,1.75,Dollars per Pound,,
03/16/1998,03/16/1998,03/20/1998,1998,3,Cream,Class II,Midwest,1.6434,1.743,Dollars per Pound,,
03/23/1998,03/23/1998,03/27/1998,1998,3,Cream,Class II,Midwest,1.65,1.75,Dollars per Pound,,
03/30/1998,03/30/1998,04/03/1998,1998,3,Cream,Class II,Midwest,1.65,1.75,Dollars per Pound,,
04/06/1998,04/06/1998,04/10/1998,1998,4,Cream,Class II,Midwest,1.6875,1.775,Dollars per Pound,,
04/13/1998,04/13/1998,04/17/1998,1998,4,Cream,Class II,Midwest,1.7125,1.775,Dollars per Pound,,
04/20/1998,04/20/1998,04/24/1998,1998,4,Cream,Class II,Midwest,1.7159,1.7786,Dollars per Pound,,
04/27/1998,04/27/1998,05/01/1998,1998,4,Cream,Class II,Midwest,1.876,1.96,Dollars per Pound,,
05/04/1998,05/04/1998,05/08/1998,1998,5,Cream,Class II,Midwest,1.876,1.96,Dollars per Pound,,
05/11/1998,05/11/1998,05/15/1998,1998,5,Cream,Class II,Midwest,1.876,1.96,Dollars per Pound,,
05/18/1998,05/18/1998,05/22/1998,1998,5,Cream,Class II,Midwest,1.917,2.0164,Dollars per Pound,,
05/25/1998,05/25/1998,05/29/1998,1998,5,Cream,Class II,Midwest,2.0625,2.31,Dollars per Pound,,
06/01/1998,06/01/1998,06/05/1998,1998,6,Cream,Class II,Midwest,2.1225,2.38,Dollars per Pound,,
06/08/1998,06/08/1998,06/12/1998,1998,6,Cream,Class II,Midwest,2.349,2.4534,Dollars per Pound,,
06/15/1998,06/15/1998,06/19/1998,1998,6,Cream,Class II,Midwest,2.4186,2.641,Dollars per Pound,,
06/22/1998,06/22/1998,06/26/1998,1998,6,Cream,Class II,Midwest,2.496,2.73,Dollars per Pound,,
06/29/1998,06/29/1998,07/03/1998,1998,6,Cream,Class II,Midwest,2.653,2.7393,Dollars per Pound,,
07/06/1998,07/06/1998,07/10/1998,1998,7,Cream,Class II,Midwest,2.653,2.7393,Dollars per Pound,,
07/13/1998,07/13/1998,07/17/1998,1998,7,Cream,Class II,Midwest,2.5805,2.7393,Dollars per Pound,,
07/20/1998,07/20/1998,07/24/1998,1998,7,Cream,Class II,Midwest,2.5805,2.7393,Dollars per Pound,,
07/27/1998,07/27/1998,07/31/1998,1998,7,Cream,Class II,Midwest,2.691,2.898,Dollars per Pound,,
08/03/1998,08/03/1998,08/07/1998,1998,8,Cream,Class II,Midwest,2.756,2.968,Dollars per Pound,,
08/10/1998,08/10/1998,08/14/1998,1998,8,Cream,Class II,Midwest,2.795,2.967,Dollars per Pound,,
08/17/1998,08/17/1998,08/21/1998,1998,8,Cream,Class II,Midwest,2.7983,2.9705,Dollars per Pound,,
08/24/1998,08/24/1998,08/28/1998,1998,8,Cream,Class II,Midwest,2.8145,2.9877,Dollars per Pound,,
08/31/1998,08/31/1998,09/04/1998,1998,8,Cream,Class II,Midwest,3.0921,3.1624,Dollars per Pound,,
09/07/1998,09/07/1998,09/11/1998,1998,9,Cream,Class II,Midwest,3.5968,3.808,Dollars per Pound,,
09/14/1998,09/14/1998,09/18/1998,1998,9,Cream,Class II,Midwest,3.5712,3.7665,Dollars per Pound,,
09/21/1998,09/21/1998,09/25/1998,1998,9,Cream,Class II,Midwest,3.653,3.808,Dollars per Pound,,
09/28/1998,09/28/1998,10/02/1998,1998,9,Cream,Class II,Midwest,3.584,3.808,Dollars per Pound,,
10/05/1998,10/05/1998,10/09/1998,1998,10,Cream,Class II,Midwest,3.3408,3.5496,Dollars per Pound,,
10/12/1998,10/12/1998,10/16/1998,1998,10,Cream,Class II,Midwest,2.82,3.196,Dollars per Pound,,
10/19/1998,10/19/1998,10/23/1998,1998,10,Cream,Class II,Midwest,2.7787,2.9188,Dollars per Pound,,
10/26/1998,10/26/1998,10/30/1998,1998,10,Cream,Class II,Midwest,2.796,3.1688,Dollars per Pound,,
11/02/1998,11/02/1998,11/06/1998,1998,11,Cream,Class II,Midwest,2.655,3.06,Dollars per Pound,,
11/09/1998,11/09/1998,11/13/1998,1998,11,Cream,Class II,Midwest,2.343,2.7264,Dollars per Pound,,
11/16/1998,11/16/1998,11/20/1998,1998,11,Cream,Class II,Midwest,1.925,2.275,Dollars per Pound,,
11/23/1998,11/23/1998,11/27/1998,1998,11,Cream,Class II,Midwest,1.59,1.749,Dollars per Pound,,
11/30/1998,11/30/1998,12/04/1998,1998,11,Cream,Class II,Midwest,1.4001,1.6436,Dollars per Pound,,
12/07/1998,12/07/1998,12/11/1998,1998,12,Cream,Class II,Midwest,1.6244,1.9069,Dollars per Pound,,
12/14/1998,12/14/1998,12/18/1998,1998,12,Cream,Class II,Midwest,1.674,1.8833,Dollars per Pound,,
12/21/1998,12/21/1998,12/25/1998,1998,12,Cream,Class II,Midwest,1.617,1.9404,Dollars per Pound,,
12/28/1998,12/28/1998,01/01/1999,1998,12,Cream,Class II,Midwest,1.617,1.9404,Dollars per Pound,,
01/04/1999,01/04/1999,01/08/1999,1999,1,Cream,Class II,Midwest,1.5873,1.8876,Dollars per Pound,,
01/11/1999,01/11/1999,01/15/1999,1999,1,Cream,Class II,Midwest,1.6445,1.9305,Dollars per Pound,,
01/18/1999,01/18/1999,01/22/1999,1999,1,Cream,Class II,Midwest,1.6445,1.9305,Dollars per Pound,,
01/25/1999,01/25/1999,01/29/1999,1999,1,Cream,Class II,Midwest,1.7844,1.8558,Dollars per Pound,,
02/01/1999,02/01/1999,02/05/1999,1999,2,Cream,Class II,Midwest,1.626,1.7615,Dollars per Pound,,
02/08/1999,02/08/1999,02/12/1999,1999,2,Cream,Class II,Midwest,1.6031,1.6673,Dollars per Pound,,
02/15/1999,02/15/1999,02/19/1999,1999,2,Cream,Class II,Midwest,1.6031,1.6673,Dollars per Pound,,
02/22/1999,02/22/1999,02/26/1999,1999,2,Cream,Class II,Midwest,1.6616,1.742,Dollars per Pound,,
03/01/1999,03/01/1999,03/05/1999,1999,3,Cream,Class II,Midwest,1.6813,1.7783,Dollars per Pound,,
03/08/1999,03/08/1999,03/12/1999,1999,3,Cream,Class II,Midwest,1.6827,1.7849,Dollars per Pound,,
03/15/1999,03/15/1999,03/19/1999,1999,3,Cream,Class II,Midwest,1.6813,1.7625,Dollars per Pound,,
03/22/1999,03/22/1999,03/26/1999,1999,3,Cream,Class II,Midwest,1.5,1.6222,Dollars per Pound,,
03/29/1999,03/29/1999,04/02/1999,1999,3,Cream,Class II,Midwest,1.3375,1.4517,Dollars per Pound,,
04/05/1999,04/05/1999,04/09/1999,1999,4,Cream,Class II,Midwest,1.1875,1.2675,Dollars per Pound,,
04/12/1999,04/12/1999,04/16/1999,1999,4,Cream,Class II,Midwest,1.2531,1.3188,Dollars per Pound,,
04/19/1999,04/19/1999,04/23/1999,1999,4,Cream,Class II,Midwest,1.35,1.417,Dollars per Pound,,
04/26/1999,04/26/1999,04/30/1999,1999,4,Cream,Class II,Midwest,1.275,1.345,Dollars per Pound,,
05/03/1999,05/03/1999,05/07/1999,1999,5,Cream,Class II,Midwest,1.2513,1.275,Dollars per Pound,,
05/10/1999,05/10/1999,05/14/1999,1999,5,Cream,Class II,Midwest,1.3602,1.4017,Dollars per Pound,,
05/17/1999,05/17/1999,05/21/1999,1999,5,Cream,Class II,Midwest,1.5264,1.5321,Dollars per Pound,,
05/24/1999,05/24/1999,05/28/1999,1999,5,Cream,Class II,Midwest,1.6228,1.7755,Dollars per Pound,,
05/31/1999,05/31/1999,06/04/1999,1999,5,Cream,Class II,Midwest,1.914,2.0155,Dollars per Pound,,
06/07/1999,06/07/1999,06/11/1999,1999,6,Cream,Class II,Midwest,1.9833,2.0885,Dollars per Pound,,
06/14/1999,06/14/1999,06/18/1999,1999,6,Cream,Class II,Midwest,1.9522,2.0874,Dollars per Pound,,
06/21/1999,06/21/1999,06/25/1999,1999,6,Cream,Class II,Midwest,1.95,2.085,Dollars per Pound,,
06/28/1999,06/28/1999,07/02/1999,1999,6,Cream,Class II,Midwest,1.9403,2.0746,Dollars per Pound,,
07/05/1999,07/05/1999,07/09/1999,1999,7,Cream,Class II,Midwest,1.807,1.9321,Dollars per Pound,,
07/12/1999,07/12/1999,07/16/1999,1999,7,Cream,Class II,Midwest,1.7567,1.9188,Dollars per Pound,,
07/19/1999,07/19/1999,07/23/1999,1999,7,Cream,Class II,Midwest,1.6828,1.8673,Dollars per Pound,,
07/26/1999,07/26/1999,07/30/1999,1999,7,Cream,Class II,Midwest,1.6553,1.8081,Dollars per Pound,,
08/02/1999,08/02/1999,08/06/1999,1999,8,Cream,Class II,Midwest,1.841,1.9932,Dollars per Pound,,
08/09/1999,08/09/1999,08/13/1999,1999,8,Cream,Class II,Midwest,1.9393,2.1156,Dollars per Pound,,
08/16/1999,08/16/1999,08/20/1999,1999,8,Cream,Class II,Midwest,1.8038,1.998,Dollars per Pound,,
08/23/1999,08/23/1999,08/27/1999,1999,8,Cream,Class II,Midwest,1.802,1.9104,Dollars per Pound,,
08/30/1999,08/30/1999,09/03/1999,1999,8,Cream,Class II,Midwest,1.8155,1.9836,Dollars per Pound,,
09/06/1999,09/06/1999,09/10/1999,1999,9,Cream,Class II,Midwest,1.7822,1.9272,Dollars per Pound,,
09/13/1999,09/13/1999,09/17/1999,1999,9,Cream,Class II,Midwest,1.7955,1.917,Dollars per Pound,,
09/20/1999,09/20/1999,09/24/1999,1999,9,Cream,Class II,Midwest,1.7475,1.9356,Dollars per Pound,,
09/27/1999,09/27/1999,10/01/1999,1999,9,Cream,Class II,Midwest,1.7157,1.8507,Dollars per Pound,,
10/04/1999,10/04/1999,10/08/1999,1999,10,Cream,Class II,Midwest,1.616,1.7513,Dollars per Pound,,
10/11/1999,10/11/1999,10/15/1999,1999,10,Cream,Class II,Midwest,1.4697,1.5502,Dollars per Pound,,
10/18/1999,10/18/1999,10/22/1999,1999,10,Cream,Class II,Midwest,1.4364,1.4648,Dollars per Pound,,
10/25/1999,10/25/1999,10/29/1999,1999,10,Cream,Class II,Midwest,1.2689,1.361,Dollars per Pound,,
11/01/1999,11/01/1999,11/05/1999,1999,11,Cream,Class II,Midwest,1.3237,1.4198,Dollars per Pound,,
11/08/1999,11/08/1999,11/12/1999,1999,11,Cream,Class II,Midwest,1.3666,1.4541,Dollars per Pound,,
11/15/1999,11/15/1999,11/19/1999,1999,11,Cream,Class II,Midwest,1.4278,1.4937,Dollars per Pound,,
11/22/1999,11/22/1999,11/26/1999,1999,11,Cream,Class II,Midwest,1.3739,1.4378,Dollars per Pound,,
11/29/1999,11/29/1999,12/03/1999,1999,11,Cream,Class II,Midwest,1.2726,1.3433,Dollars per Pound,,
12/06/1999,12/06/1999,12/10/1999,1999,12,Cream,Class II,Midwest,1.1602,1.2431,Dollars per Pound,,
12/13/1999,12/13/1999,12/17/1999,1999,12,Cream,Class II,Midwest,1.1606,1.2512,Dollars per Pound,,
12/20/1999,12/20/1999,12/24/1999,1999,12,Cream,Class II,Midwest,1.1313,1.2218,Dollars per Pound,,
12/27/1999,12/27/1999,12/31/1999,1999,12,Cream,Class II,Midwest,1.0175,1.187,Dollars per Pound,,
01/03/2000,01/03/2000,01/07/2000,2000,1,Cream,Class II,Midwest,1.1463,1.1813,Dollars per Pound,,
01/10/2000,01/10/2000,01/14/2000,2000,1,Cream,Class II,Midwest,1.1025,1.1638,Dollars per Pound,,
01/17/2000,01/17/2000,01/21/2000,2000,1,Cream,Class II,Midwest,1.1802,1.2458,Dollars per Pound,,
01/24/2000,01/24/2000,01/28/2000,2000,1,Cream,Class II,Midwest,1.1729,1.2095,Dollars per Pound,,
01/31/2000,01/31/2000,02/04/2000,2000,1,Cream,Class II,Midwest,1.17,1.2285,Dollars per Pound,,
02/07/2000,02/07/2000,02/11/2000,2000,2,Cream,Class II,Midwest,1.2448,1.2994,Dollars per Pound,,
02/14/2000,02/14/2000,02/18/2000,2000,2,Cream,Class II,Midwest,1.1765,1.1946,Dollars per Pound,,
02/21/2000,02/21/2000,02/25/2000,2000,2,Cream,Class II,Midwest,1.1613,1.183,Dollars per Pound,,
02/28/2000,02/28/2000,03/03/2000,2000,2,Cream,Class II,Midwest,1.1891,1.2359,Dollars per Pound,,
03/06/2000,03/06/2000,03/10/2000,2000,3,Cream,Class II,Midwest,1.261,1.2945,Dollars per Pound,,
03/13/2000,03/13/2000,03/17/2000,2000,3,Cream,Class II,Midwest,1.2664,1.2958,Dollars per Pound,,
03/20/2000,03/20/2000,03/24/2000,2000,3,Cream,Class II,Midwest,1.2642,1.3524,Dollars per Pound,,
03/27/2000,03/27/2000,03/31/2000,2000,3,Cream,Class II,Midwest,1.3302,1.5318,Dollars per Pound,,
04/03/2000,04/03/2000,04/07/2000,2000,4,Cream,Class II,Midwest,1.4198,1.5284,Dollars per Pound,,
04/10/2000,04/10/2000,04/14/2000,2000,4,Cream,Class II,Midwest,1.398,1.5215,Dollars per Pound,,
04/17/2000,04/17/2000,04/21/2000,2000,4,Cream,Class II,Midwest,1.3367,1.4352,Dollars per Pound,,
04/24/2000,04/24/2000,04/28/2000,2000,4,Cream,Class II,Midwest,1.3018,1.4076,Dollars per Pound,,
05/01/2000,05/01/2000,05/05/2000,2000,5,Cream,Class II,Midwest,1.3758,1.4841,Dollars per Pound,,
05/08/2000,05/08/2000,05/12/2000,2000,5,Cream,Class II,Midwest,1.4806,1.5971,Dollars per Pound,,
05/15/2000,05/15/2000,05/19/2000,2000,5,Cream,Class II,Midwest,1.5535,1.6133,Dollars per Pound,,
05/22/2000,05/22/2000,05/26/2000,2000,5,Cream,Class II,Midwest,1.676,1.7533,Dollars per Pound,,
05/29/2000,05/29/2000,06/02/2000,2000,5,Cream,Class II,Midwest,1.6922,1.7833,Dollars per Pound,,
06/05/2000,06/05/2000,06/09/2000,2000,6,Cream,Class II,Midwest,1.7523,1.8187,Dollars per Pound,,
06/12/2000,06/12/2000,06/16/2000,2000,6,Cream,Class II,Midwest,1.741,1.8347,Dollars per Pound,,
06/19/2000,06/19/2000,06/23/2000,2000,6,Cream,Class II,Midwest,1.674,1.7112,Dollars per Pound,,
